kind,source_path,archive_path,lines,chars,sha256,headings
agents,ikun/ikun-mouse/AGENTS.md,corpus/agents/ikun/ikun-mouse/AGENTS.md,6,231,cea90e0e3d7c791efffc2cd2ad58c47d5ed88b705880ab4d60a9055318b65828,# Repository Guidelines
agents,ikun/ikun-pretrain/AGENTS.md,corpus/agents/ikun/ikun-pretrain/AGENTS.md,6,257,d459a604a898df1528324c100102b8591f2cad14d9d758dea537874ab146f73e,# Repository Guidelines
agents,ikun/ikun-Reason/AGENTS.md,corpus/agents/ikun/ikun-Reason/AGENTS.md,6,232,1070ae97bcd1a7e17e6888491cf5fe4a56a4ab0296ec25ab82787e0d46d26600,# Repository Guidelines
agents,ikun/ikun-tokenizer/AGENTS.md,corpus/agents/ikun/ikun-tokenizer/AGENTS.md,6,238,216f21be7b51569c7864620f8f7b1673aabb6ebceccaa3c6f4244106a9dc7afc,# Repository Guidelines
agents,ikun/ikun-ui/AGENTS.md,corpus/agents/ikun/ikun-ui/AGENTS.md,18,628,ad85bc61c243fe018bde855a2ec773ad19c9ad17e8186cb12bff2c77320a526b,# Repository Guidelines | ## Project Shape | ## Commands | ## Editing Rules
agents,ikun/ikun-V/AGENTS.md,corpus/agents/ikun/ikun-V/AGENTS.md,6,240,c42843b61f5eb241f02b58bfc02d142808a6f19286fe5f6a145a80614bf966d2,# Repository Guidelines
agents,ikun/ikun/AGENTS.md,corpus/agents/ikun/ikun/AGENTS.md,7,301,fb2a6d870ca3c37b8dae80fd3d1473a5f8e749577204f2ce34e093d76373de40,# Repository Guidelines
agents,ikun/ji/AGENTS.md,corpus/agents/ikun/ji/AGENTS.md,17,643,71423ea12ed30f8bacca6d35390231e2d56f20f02e494630d3f96e2fbdc7cae4,# Repository Guidelines | ## Project Shape | ## Commands | ## Editing Rules
agents,ikun/Jilehe/AGENTS.md,corpus/agents/ikun/Jilehe/AGENTS.md,6,221,0d63f04ac7bfd4fd380f4035676a2f65b091d89ea710fc9abcc3979b6fcd9cca,# Repository Guidelines
agents,ios/embodied-agent/AGENTS.md,corpus/agents/ios/embodied-agent/AGENTS.md,6,216,fc586b783d49f388578d014ed6cddfa4b3e49b9c28df49cb3901e91840bf8727,# Repository Guidelines
agents,ios/unitree_mujoco/AGENTS.md,corpus/agents/ios/unitree_mujoco/AGENTS.md,6,276,647ed92aa27984a2eb43b7a5511f5f365d5920094327d180a55ad6600da089ac,# Repository Guidelines
agents,ios/unitree_sdk2_python/AGENTS.md,corpus/agents/ios/unitree_sdk2_python/AGENTS.md,6,281,54864658a74b87c57e2e98cae26994ef8bb702aef303aa192602a531c371f187,# Repository Guidelines
agents,kevinten10.github.io/next-portfolio/AGENTS.md,corpus/agents/kevinten10.github.io/next-portfolio/AGENTS.md,5,325,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627,# This is NOT the Next.js you know
agents,kimi/Kimi_Agent_二手智能定价/app/AGENTS.md,corpus/agents/kimi/Kimi_Agent_二手智能定价/app/AGENTS.md,33,1047,deb8bd1a4593f6fb91879f310f8ddee30a867bb486b81bedbd577e4269ad91b7,# AI Secondhand Pricing Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
